service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1289624,20110711,20111002,0,0,0,0,0,0,1
1260580,20110711,20111002,1,1,1,1,1,0,0
1288677,20110711,20111002,0,0,0,0,0,1,0
1258635,20110711,20111002,0,0,0,0,0,0,1
1229388,20110404,20110710,1,1,1,1,1,0,0
1229389,20110404,20110710,1,1,1,1,1,0,0
1259351,20110711,20111002,0,0,0,0,0,0,1
1229382,20110404,20110710,1,1,1,1,1,0,0
1229383,20110404,20110710,1,1,1,1,1,0,0
1229380,20110404,20110710,1,1,1,1,1,0,0
1229381,20110404,20110710,1,1,1,1,1,0,0
1229386,20110404,20110710,1,1,1,1,1,0,0
1229387,20110404,20110710,1,1,1,1,1,0,0
1229384,20110404,20110710,1,1,1,1,1,0,0
1229385,20110404,20110710,1,1,1,1,1,0,0
1234312,20110404,20110710,0,0,0,0,0,1,0
1234311,20110404,20110710,0,0,0,0,0,1,0
1228399,20110404,20110710,0,0,0,0,0,1,0
1260339,20110711,20111002,0,0,0,0,0,1,0
1228392,20110404,20110710,0,0,0,0,0,1,0
1228393,20110404,20110710,0,0,0,0,0,1,0
1228390,20110404,20110710,0,0,0,0,0,1,0
1228391,20110404,20110710,0,0,0,0,0,1,0
1228396,20110404,20110710,0,0,0,0,0,1,0
1228397,20110404,20110710,0,0,0,0,0,1,0
1228394,20110404,20110710,0,0,0,0,0,1,0
1228395,20110404,20110710,0,0,0,0,0,1,0
1257901,20110711,20111002,1,1,1,1,1,0,0
1259532,20110711,20111002,1,1,1,1,1,0,0
1257900,20110711,20111002,1,1,1,1,1,0,0
1257903,20110711,20111002,1,1,1,1,1,0,0
1257902,20110711,20111002,1,1,1,1,1,0,0
1257905,20110711,20111002,1,1,1,1,1,0,0
1257904,20110711,20111002,1,1,1,1,1,0,0
1257907,20110711,20111002,1,1,1,1,1,0,0
1257906,20110711,20111002,1,1,1,1,1,0,0
1257909,20110711,20111002,1,1,1,1,1,0,0
1257908,20110711,20111002,1,1,1,1,1,0,0
1257341,20110711,20111002,0,0,0,0,0,0,1
1257771,20110711,20111002,1,1,1,1,1,0,0
1231314,20110404,20110710,0,0,0,0,0,1,0
1231315,20110404,20110710,0,0,0,0,0,1,0
1258247,20110711,20111002,0,0,0,0,0,0,1
1289589,20110711,20111002,0,0,0,0,0,0,1
1228431,20110404,20110710,0,0,0,0,0,1,0
1260772,20110711,20111002,1,1,1,1,1,0,0
1257574,20110711,20111002,0,0,0,0,0,1,0
1231317,20110404,20110710,0,0,0,0,0,1,0
1257575,20110711,20111002,0,0,0,0,0,1,0
1231310,20110404,20110710,0,0,0,0,0,1,0
1257340,20110711,20111002,0,0,0,0,0,0,1
1257576,20110711,20111002,0,0,0,0,0,1,0
1231311,20110404,20110710,0,0,0,0,0,1,0
1288219,20110711,20111002,1,1,1,1,1,0,0
1257577,20110711,20111002,0,0,0,0,0,1,0
1231312,20110404,20110710,0,0,0,0,0,1,0
1255935,20110404,20110710,0,0,0,0,0,0,1
1258246,20110711,20111002,0,0,0,0,0,0,1
1257570,20110711,20111002,0,0,0,0,0,1,0
1231313,20110404,20110710,0,0,0,0,0,1,0
1257571,20110711,20111002,0,0,0,0,0,1,0
1257572,20110711,20111002,0,0,0,0,0,1,0
1257573,20110711,20111002,0,0,0,0,0,1,0
1258524,20110711,20111002,1,1,1,1,1,0,0
1233330,20110404,20110710,1,1,1,1,1,0,0
1233331,20110404,20110710,1,1,1,1,1,0,0
1233332,20110404,20110710,1,1,1,1,1,0,0
1233333,20110404,20110710,1,1,1,1,1,0,0
1233334,20110404,20110710,1,1,1,1,1,0,0
1233335,20110404,20110710,1,1,1,1,1,0,0
1233336,20110404,20110710,1,1,1,1,1,0,0
1233337,20110404,20110710,1,1,1,1,1,0,0
1233338,20110404,20110710,1,1,1,1,1,0,0
1233339,20110404,20110710,1,1,1,1,1,0,0
1231748,20110404,20110710,1,1,1,1,1,0,0
1258523,20110711,20111002,1,1,1,1,1,0,0
1235404,20110404,20110710,1,1,1,1,1,0,0
1235405,20110404,20110710,1,1,1,1,1,0,0
1235406,20110404,20110710,1,1,1,1,1,0,0
1235407,20110404,20110710,1,1,1,1,1,0,0
1235400,20110404,20110710,1,1,1,1,1,0,0
1235401,20110404,20110710,1,1,1,1,1,0,0
1235402,20110404,20110710,1,1,1,1,1,0,0
1235403,20110404,20110710,1,1,1,1,1,0,0
1262556,20110711,20111002,1,1,1,1,1,0,0
1234829,20110404,20110710,0,0,0,0,0,1,0
1262554,20110711,20111002,1,1,1,1,1,0,0
1262555,20110711,20111002,1,1,1,1,1,0,0
1235408,20110404,20110710,1,1,1,1,1,0,0
1235409,20110404,20110710,1,1,1,1,1,0,0
1262550,20110711,20111002,1,1,1,1,1,0,0
1234828,20110404,20110710,0,0,0,0,0,1,0
1260536,20110711,20111002,1,1,1,1,1,0,0
1260537,20110711,20111002,1,1,1,1,1,0,0
1260534,20110711,20111002,1,1,1,1,1,0,0
1228698,20110404,20110710,1,1,1,1,1,0,0
1260532,20110711,20111002,1,1,1,1,1,0,0
1260533,20110711,20111002,1,1,1,1,1,0,0
1260530,20110711,20111002,1,1,1,1,1,0,0
1260531,20110711,20111002,1,1,1,1,1,0,0
1231743,20110404,20110710,1,1,1,1,1,0,0
1260538,20110711,20111002,1,1,1,1,1,0,0
1260539,20110711,20111002,1,1,1,1,1,0,0
1260028,20110711,20111002,1,1,1,1,1,0,0
1234289,20110404,20110710,0,0,0,0,0,1,0
1258177,20110711,20111002,0,0,0,0,0,1,0
1260438,20110711,20111002,1,1,1,1,1,0,0
1228061,20110404,20110710,1,1,1,1,1,0,0
1260020,20110711,20111002,1,1,1,1,1,0,0
1260021,20110711,20111002,1,1,1,1,1,0,0
1260022,20110711,20111002,1,1,1,1,1,0,0
1260023,20110711,20111002,1,1,1,1,1,0,0
1260024,20110711,20111002,1,1,1,1,1,0,0
1234827,20110404,20110710,0,0,0,0,0,1,0
1260026,20110711,20111002,1,1,1,1,1,0,0
1260027,20110711,20111002,1,1,1,1,1,0,0
1262981,20110711,20111002,1,1,1,1,1,0,0
1261212,20110711,20111002,1,1,1,1,1,0,0
1234826,20110404,20110710,0,0,0,0,0,1,0
1262980,20110711,20111002,1,1,1,1,1,0,0
1234821,20110404,20110710,0,0,0,0,0,1,0
1234820,20110404,20110710,0,0,0,0,0,1,0
1234823,20110404,20110710,0,0,0,0,0,1,0
1234822,20110404,20110710,0,0,0,0,0,1,0
1261213,20110711,20111002,1,1,1,1,1,0,0
1289582,20110711,20111002,0,0,0,0,0,0,1
1258874,20110711,20111002,0,0,0,0,0,0,1
1259788,20110711,20111002,1,1,1,1,1,0,0
1262986,20110711,20111002,1,1,1,1,1,0,0
